"id";"geneTerm_a";"geneTerm_b";"sim_UV"
1;"ATMG01000";"AT2G07751";0.996459477571118
2;"ATCG01070";"ATCG01060";0.994366982247092
3;"ATCG01080";"ATMG00710";0.987089227333861
4;"no_match";"ATMG00580";0.992041017247684
5;"AT2G07708";"ATCG01090";0.993642303292066
6;"ATCG00590";"ATCG01090";0.98783500108136
7;"ATCG00590";"AT2G07708";0.987801352512136
8;"ATCG00650";"ATCG00600";0.994487234389414
9;"ATCG00670";"AT2G07783";0.989691967582968
10;"ATCG00690";"ATMG00270";0.990919786206452
11;"ATCG00700";"ATCG00600";0.99250191864343
12;"ATCG00760";"ATCG00600";0.989653573298039
13;"ATCG00790";"AT2G07783";0.990513636389228
14;"ATCG00790";"ATCG00065";0.993256785669513
15;"ATCG00810";"ATCG01060";0.997974180614069
16;"ATCG00810";"ATCG01070";0.991631713169669
17;"ATCG00860";"ATCG00600";0.990122269975716
18;"ATCG00860";"ATCG00740";0.990779902461293
19;"ATCG00900";"ATCG00065";0.993177576883939
20;"ATCG00900";"ATCG00790";0.98761863829914
21;"ATCG01010";"ATCG00840";0.994455519889262
22;"ATCG00160";"ATCG00600";0.988028529254248
23;"ATCG00160";"ATCG00700";0.989811812933745
24;"ATCG00170";"ATCG00160";0.990541435169615
25;"ATCG00180";"ATCG01090";0.987451470755029
26;"ATCG00180";"ATCG00065";0.988584353185595
27;"ATCG00180";"ATCG01010";0.993558904119293
28;"ATCG00190";"ATCG00760";0.993638714393633
29;"ATCG00210";"ATMG00070";0.994822271262878
30;"ATCG00270";"ATCG01110";0.991346214124356
31;"ATCG00270";"ATCG00650";0.987174973039071
32;"ATCG00270";"ATCG00780";0.994264752839035
33;"ATCG00280";"ATCG00065";0.992562128931565
34;"ATCG00280";"ATCG00900";0.990415326117291
35;"ATCG00280";"ATCG00180";0.991760864710162
36;"ATCG00300";"ATCG01090";0.989018793010013
37;"ATCG00300";"AT2G07708";0.987760822773048
38;"ATCG00300";"ATCG00900";0.991525132368504
39;"ATCG00340";"ATCG01230";0.997304027289109
40;"ATCG00380";"AT2G07783";0.992942640792885
41;"ATCG00380";"ATCG00670";0.987560304686863
42;"ATCG00380";"ATCG00790";0.987927661171098
43;"ATCG00420";"ATMG00580";0.992054723976251
44;"ATCG00430";"ATMG00400";0.987800444907077
45;"ATCG00470";"ATCG01230";0.989260342215957
46;"ATCG00480";"ATCG01230";0.994041323353707
47;"ATCG00480";"ATCG00340";0.990140566256854
48;"ATCG00490";"ATCG01040";0.998234627533188
49;"ATCG00490";"ATCG00670";0.987282795992723
50;"ATCG00500";"ATCG01040";0.988743039285769
51;"ATCG00500";"ATCG00670";0.991626085596192
52;"ATCG00500";"ATCG01010";0.98712835221515
53;"ATCG00500";"ATCG00170";0.993083543721567
54;"ATCG00500";"ATCG00490";0.991580172772722
55;"ATCG00510";"ATCG01010";0.993690232235623
56;"ATCG00510";"ATCG00160";0.988137946732197
57;"ATCG00510";"ATCG00170";0.995230935088446
58;"ATCG00510";"ATCG00500";0.997197557789377
59;"ATCG00520";"ATCG00600";0.993828079500348
60;"ATCG00520";"ATCG00700";0.989040879695048
61;"ATCG00520";"ATCG00160";0.996175372802845
62;"ATCG00530";"ATCG00065";0.997127694271035
63;"ATCG00530";"ATCG00790";0.993228245307325
64;"ATCG00530";"ATCG00840";0.989651641904526
65;"ATCG00530";"ATCG01010";0.991107125766926
66;"ATCG00530";"ATCG00180";0.988176743757166
67;"ATCG00530";"ATCG00510";0.988624801997875
68;"ATCG00080";"ATCG01090";0.989077056552547
69;"ATCG00080";"ATCG00590";0.994579421461927
70;"ATCG00120";"ATCG01040";0.992257933995937
71;"ATCG00120";"ATCG00670";0.99695678052442
72;"ATCG00120";"ATCG00490";0.993575556145768
73;"ATCG00120";"ATCG00500";0.991586880119358
74;"ATCG00040";"ATCG01050";0.995510937793662
75;"ATCG00070";"ATCG00710";0.987503051254222
76;"ATCG00070";"ATCG00820";0.988655164733126
77;"AT2G41540";"ATCG01100";0.998029598858205
78;"AT2G47490";"AT2G39830";0.994011914991236
79;"AT5G12480";"AT2G40950";0.992245175857213
80;"AT3G29810";"AT2G33150";0.99498390272743
81;"AT1G44350";"AT2G40950";0.995327320247838
82;"AT1G44350";"AT5G12480";0.988576139323153
83;"AT4G17010";"AT5G12410";0.988680337502157
84;"AT4G16146";"AT2G41660";0.992072273499142
85;"AT4G16850";"AT4G16500";0.997474761027057
86;"AT4G14890";"ATMG00710";0.987977511736189
87;"AT4G14890";"ATCG01080";0.996140832705315
88;"AT4G15490";"ATMG00640";0.987210839762612
89;"AT4G17785";"AT4G16745";0.994486083705359
90;"AT4G16520";"AT4G16330";0.988517665379529
91;"AT4G17590";"AT4G16563";0.988598771093447
92;"AT4G17310";"AT4G17010";0.991462915773821
93;"AT4G17370";"AT4G14615";0.987654942101065
94;"AT4G17540";"AT4G15830";0.987372258073568
95;"AT4G16680";"AT1G44350";0.988058291120418
96;"AT4G16750";"AT2G39725";0.990901259170177
97;"AT4G16600";"AT4G25530";0.994841739601714
98;"AT4G16030";"ATMG00680";0.991925292052031
99;"AT4G16030";"AT2G47430";0.99267483679504
100;"AT4G16140";"AT4G16442";0.991360303280176
101;"AT4G16250";"AT5G12430";0.993582546935582
102;"AT4G15390";"AT4G16060";0.988125132050319
103;"AT4G15480";"AT4G17483";0.988493205262966
104;"AT4G15480";"AT4G16820";0.989710747380105
105;"AT4G14670";"AT4G14430";0.990306092961561
106;"AT4G14780";"AT2G26550";0.989038109814855
107;"AT4G14550";"AT2G45420";0.989619896629508
108;"At4g14280";"AT2G23260";0.995825520034692
109;"AT4G14390";"AT2G41550";0.988581937905868
110;"AT4G14470";"AT2G47500";0.987665157202775
111;"AT1G56580";"AT4G15630";0.987778324319295
112;"AT1G24706";"AT4G15410";0.987322227694833
113;"AT1G28280";"AT1G28190";0.989808324789497
114;"AT1G56570";"AT2G45340";0.990526338161606
115;"AT1G56560";"AT4G15420";0.990777686821508
116;"AT5G04230";"AT4G14890";0.988281801587059
117;"AT5G04380";"AT4G17200";0.98946365132095
118;"AT1G73400";"AT4G14840";0.989037653523351
119;"AT1G73410";"AT5G12350";0.992465112901926
120;"AT1G44160";"ATMG00630";0.986970696404731
121;"AT1G44130";"AT5G12400";0.993674559166363
122;"AT1G51070";"AT4G16060";0.997205068734651
123;"AT1G51090";"AT4G15460";0.990825467117842
124;"AT1G51090";"AT1G73470";0.996051389034316
125;"AT1G35150";"AT4G14640";0.987759262870771
126;"AT1G35143";"AT2G45380";0.996728224315579
127;"AT1G35183";"ATMG00860";0.997383525925963
128;"AT1G35140";"AT1G67780";0.991226240738863
129;"AT1G33590";"AT4G17483";0.992801958501789
130;"AT1G45976";"AT2G45320";0.995214383448294
131;"AT1G32190";"AT4G14490";0.992351018366785
132;"AT1G32180";"AT2G33080";0.991545921491892
133;"AT1G32150";"AT4G15320";0.990813889699176
134;"AT1G32200";"AT5G12450";0.99886904763308
135;"AT1G32210";"AT4G16750";0.987341074764844
136;"AT1G32170";"AT1G28320";0.987741576650598
137;"AT1G46840";"AT2G47440";0.990777789388199
138;"AT1G46840";"AT4G15060";0.996188694203963
139;"AT1G37537";"ATCG00800";0.99367105809596
140;"AT1G49920";"AT2G47430";0.991416870768697
141;"AT1G26320";"At1g44254";0.998036157493007
142;"AT1G26110";"AT5G12430";0.993250548458866
143;"AT1G57780";"AT4G16740";0.987270804342999
144;"AT1G42220";"AT4G25580";0.988587983371677
145;"AT1G42250";"AT2G23160";0.992659742137814
146;"AT5G28290";"AT1G51100";0.989148794179263
147;"AT5G28290";"AT1G26100";0.992707118364157
148;"AT1G26230";"ATMG00260";0.990203052973199
149;"AT1G26230";"ATCG00190";0.989248913263343
150;"AT1G26230";"AT2G47590";0.994352610866831
151;"AT5G09420";"AT1G25260";0.987972773063932
152;"AT5G09500";"At4g25600";0.999303678805477
153;"AT5G09390";"AT2G45240";0.998255701912069
154;"AT5G09390";"AT4G15955";0.987963909672226
155;"AT5G09480";"AT4G16060";0.993865150818818
156;"AT5G09480";"AT1G51070";0.988433900033311
157;"AT5G09220";"AT2G26380";0.990054238331889
158;"AT5G09370";"At1g37900";0.996100332488979
159;"AT5G09310";"AT4G15640";0.991517443318149
160;"AT5G11040";"AT4G16447";0.989575539142452
161;"At5g28720";"AT4G15630";0.993647420519098
162;"AT5G28800";"AT4G16160";0.995920853859878
163;"AT5G09280";"AT5G28810";0.993318515234816
164;"AT5G09290";"AT4G14965";0.993779535822524
165;"AT5G19840";"AT5G19600";0.992259625168945
166;"AT5G19540";"AT1G67660";0.988969824699534
167;"AT5G19510";"AT4G17010";0.992755480003318
168;"AT5G19510";"AT4G17310";0.987166940534098
169;"AT5G19570";"AT4G14240";0.987081053065495
170;"AT5G19550";"AT4G17270";0.9933156828095
171;"AT5G28520";"ATMG00710";0.994591008297187
172;"AT5G19610";"AT2G23220";0.99004655159255
173;"AT5G19610";"AT2G23160";0.990310818592926
174;"AT5G19610";"AT1G35143";0.98748929563296
175;"AT5G20710";"AT4G14940";0.989046978000715
176;"AT5G20710";"AT4G14530";0.996675603478517
177;"AT5G20730";"AT1G67800";0.990543632724733
178;"AT5G32490";"AT2G26620";0.995701710219642
179;"AT5G13080";"AT4G15420";0.992079357072341
180;"AT5G13080";"AT1G56560";0.992794274958396
181;"AT5G13140";"AT5G28500";0.997610824180115
182;"AT5G13120";"AT4G14910";0.994262502742009
183;"AT5G20660";"AT2G39725";0.988000006845218
184;"AT5G20700";"AT4G17770";0.995924216927644
185;"AT5G20800";"AT4G17505";0.993262765232376
186;"AT5G20650";"ATMG00880";0.996076451075716
187;"AT5G20650";"AT5G28820";0.989397613304775
188;"AT5G20790";"AT1G73330";0.988939705586324
189;"AT5G08415";"AT1G24822";0.992297164003045
190;"AT5G08410";"AT2G33160";0.988722786297987
191;"AT5G08320";"AT4G16170";0.98751630706
192;"AT5G08330";"AT2G41560";0.987566525288272
193;"AT5G21070";"AT5G12350";0.98972301092858
194;"AT5G21070";"AT1G73410";0.991405128824107
195;"AT5G21060";"ATCG01250";0.991788259179946
196;"AT5G21060";"ATCG00190";0.987386739564126
197;"AT5G21060";"ATCG00040";0.990238489561117
198;"AT5G21105";"AT5G21150";0.994028478180633
199;"At5g32480";"AT5G10720";0.988832175936909
200;"AT5G19290";"AT2G41660";0.996748610101641
201;"AT5G19290";"AT4G16146";0.990243245350977
202;"AT5G19380";"ATMG00400";0.990877632950671
203;"AT5G19380";"ATCG00430";0.987923722699141
204;"AT5G28880";"AT4G14695";0.98815981739881
205;"AT5G08310";"AT5G20830";0.987431911418442
206;"AT5G08400";"AT1G26150";0.993184163859701
207;"AT5G19340";"AT4G15680";0.990666295878681
208;"AT5G19340";"AT4G15690";0.986957401993937
209;"AT5G20290";"AT4G17010";0.991439046768886
210;"AT5G20290";"AT5G19510";0.992130371858306
211;"AT5G20160";"AT1G58380";0.987949055935561
212;"AT5G20130";"At1g26180";0.99475030843681
213;"AT5G20410";"AT1G56690";0.991292356420095
214;"AT5G20460";"ATCG00740";0.990107118982649
215;"AT5G20460";"ATCG00860";0.994767406667079
216;"AT5G20470";"At4g16630";0.988394975149341
217;"AT5G20480";"AT5G22060";0.997384582460894
218;"AT5G20560";"AT5G09490";0.989393706530782
219;"AT5G20600";"AT5G13490";0.989785267434393
220;"AT5G20500";"AT2G26510";0.995208680427405
221;"AT5G20500";"AT1G28330";0.991536550655448
222;"AT5G20330";"AT4G25570";0.997141522055156
223;"At5g32570";"AT5G04390";0.988703074600978
224;"AT5G28650";"AT5G20580";0.988115708484599
225;"AT5G20200";"AT2G26440";0.990428516517822
226;"At5g20210";"ATMG00890";0.989104488457154
227;"AT5G20300";"AT1G44120";0.990953006056292
228;"AT5G20340";"AT4G16990";0.988314963654273
229;"AT5G20380";"AT4G16920";0.996197828380648
230;"AT5G32540";"At5g32580";0.987612270122444
231;"AT5G20960";"AT5G12390";0.992251507917907
232;"AT5G19900";"AT5G19760";0.988664705376414
233;"AT5G19980";"AT2G39810";0.996281899047935
234;"AT5G20110";"AT2G45190";0.99453579331119
235;"AT5G19880";"At4g16080";0.988880092396312
236;"AT5G19990";"AT1G56590";0.997439870988722
237;"AT5G32600";"AT5G12270";0.991983991709936
238;"At5g32410";"AT5G09500";0.988466807440632
239;"AT5G32440";"AT2G47470";0.994511531526795
240;"AT5G28430";"AT4G14490";0.992146897104598
241;"AT5G20840";"AT1G73510";0.987347653508038
242;"AT5G21050";"AT5G04370";0.987566095259448
243;"AT5G20920";"AT1G32130";0.995450115029496
244;"AT4G36490";"AT1G57870";0.987071360819227
245;"AT4G36988";"AT4G17070";0.987141137187762
246;"AT4G37180";"AT1G24735";0.988769992973176
247;"AT4G36890";"AT5G12450";0.994489050569074
248;"AT4G36890";"AT1G32200";0.990643932370631
249;"AT4G36710";"AT4G16670";0.990827578859355
250;"AT4G36550";"AT2G26530";0.987000888048587
251;"AT4G36790";"AT4G15340";0.990120421354165
252;"AT4G36440";"AT4G25620";0.990333255477885
253;"AT4G36560";"AT2G45380";0.997786677200608
254;"AT4G36560";"AT1G35143";0.99379914956913
255;"AT1G31780";"AT2G45210";0.994537576223881
256;"AT1G31812";"AT2G26360";0.987437953148284
257;"AT4G36500";"AT1G66920";0.993836808321709
258;"AT4G37230";"AT4G16500";0.992510104001606
259;"AT4G37230";"AT4G16850";0.997253578234438
260;"AT4G37150";"AT4G36530";0.992431917994132
261;"AT4G36700";"AT1G67840";0.988719677359959
262;"AT4G36540";"AT4G36970";0.987845416947324
263;"AT4G36460";"AT4G36490";0.988880219661563
264;"AT3G56710";"AT2G26530";0.986996993388484
265;"AT3G56710";"AT1G66920";0.988061931577608
266;"AT3G56690";"AT2G45240";0.988387322278973
267;"AT3G56690";"AT5G09390";0.990153401030836
268;"AT3G51780";"AT5G19950";0.989840574059108
269;"AT3G51790";"AT4G16250";0.992824731833724
270;"AT3G51880";"AT5G19800";0.988046358849309
271;"AT1G16560";"AT2G45240";0.988082732513582
272;"AT3G43590";"AT4G15340";0.990241096612148
273;"AT3G44820";"AT4G16310";0.990916881474416
274;"AT3G44840";"ATMG00740";0.993333821064882
275;"AT3G44890";"ATCG00600";0.988273932973529
276;"AT3G43150";"At4g16380";0.994994849850428
277;"AT3G56830";"AT4G14490";0.989536885458974
278;"AT3G56840";"AT5G28880";0.994360701751307
279;"AT1G16570";"AT4G16330";0.987870550623512
280;"AT1G16570";"AT1G44170";0.98999307447053
281;"AT1G38950";"AT4G25590";0.991748395009852
282;"At1g38470";"AT4G17505";0.990970894604097
283;"At1g38470";"AT5G20800";0.99373380615448
284;"AT1G40150";"AT2G40900";0.990413989384249
285;"AT1G41690";"AT5G28840";0.992303089855277
286;"AT1G39750";"AT5G11020";0.98700230209843
287;"AT1G51880";"AT3G51880";0.994933006974638
288;"AT1G51920";"AT1G28280";0.988969473567729
289;"AT1G51940";"AT5G19890";0.995163410238444
290;"AT1G51860";"AT1G67850";0.996298701802224
291;"AT1G51830";"AT4G14960";0.98929868073311
292;"AT1G57620";"AT1G08410";0.989321297903658
293;"AT1G77370";"AT4G36960";0.987304218000785
294;"AT1G77390";"AT4G17483";0.988168824491589
295;"AT1G77390";"AT1G33590";0.991366764511299
